max1,min1,mean1,std1,1st quart1,median1,3rd quart1,max2,min2,mean2,std2,1st quart2,median2,3rd quart2,max3,min3,mean3,std3,1st quart3,median3,3rd quart3,max4,min4,mean4,std4,1st quart4,median4,3rd quart4,max5,min5,mean5,std5,1st quart5,median5,3rd quart5,max6,min6,mean6,std6,1st quart6,median6,3rd quart6,train_test,activities
48.0,33.25,42.364,2.068,42.0,43.0,43.5,4.44,0.0,0.493,0.404,0.43,0.5,0.5,22.5,3.0,17.119,3.141,15.0,18.0,19.33,5.36,0.0,0.642,0.761,0.0,0.45,0.87,28.0,1.0,13.382,4.957,10.188,13.125,17.69,6.02,0.0,1.034,0.986,0.47,0.83,1.25,0.0,4.0
48.5,35.25,40.219,2.741,37.75,39.25,42.5,3.28,0.0,0.617,0.485,0.43,0.5,1.0,23.5,0.0,14.851,4.929,11.938,16.0,18.25,5.12,0.0,0.872,0.989,0.0,0.495,1.22,27.33,0.0,15.167,5.314,11.67,15.25,19.75,6.36,0.0,1.058,1.026,0.47,0.83,1.3,0.0,4.0
48.25,28.5,43.885,3.199,42.0,45.25,46.5,3.28,0.0,0.517,0.394,0.43,0.5,0.71,24.25,0.0,14.997,5.622,11.188,15.0,18.75,6.98,0.0,1.048,1.097,0.43,0.82,1.48,25.0,1.5,14.921,5.259,10.5,15.875,19.25,7.0,0.0,1.355,1.151,0.5,1.09,1.7,0.0,4.0
45.0,39.5,42.112,1.122,41.5,42.0,42.0,1.09,0.0,0.342,0.296,0.0,0.47,0.5,21.8,0.0,11.442,4.54,9.0,12.0,14.75,7.31,0.0,0.889,1.072,0.43,0.5,0.955,23.0,1.0,12.974,4.848,9.0,13.29,17.25,6.36,0.0,0.961,0.883,0.47,0.82,1.22,1.0,4.0
44.75,39.67,42.283,1.356,41.5,41.5,44.33,1.0,0.0,0.498,0.148,0.47,0.5,0.5,22.75,0.0,9.47,5.314,5.0,10.0,14.0,5.68,0.0,0.9,0.836,0.43,0.82,1.25,23.25,0.0,12.537,6.04,8.5,12.0,18.25,7.85,0.0,0.869,0.794,0.47,0.82,1.0,1.0,4.0
44.67,40.0,42.36,1.017,41.5,42.0,43.25,1.0,0.0,0.483,0.246,0.43,0.5,0.5,23.5,2.0,12.885,4.013,11.458,12.75,15.0,5.93,0.0,0.62,0.748,0.0,0.47,0.83,26.67,2.5,15.26,6.467,9.75,13.25,22.0,4.64,0.0,0.72,0.609,0.43,0.5,0.83,1.0,4.0
46.0,29.25,42.729,2.046,41.33,43.25,44.5,4.72,0.0,0.555,0.383,0.47,0.5,0.5,24.0,0.0,15.824,4.88,12.458,16.5,20.0,6.12,0.0,0.758,0.908,0.0,0.47,1.0,24.0,2.0,16.409,4.294,13.73,17.67,19.0,5.1,0.0,0.892,0.851,0.43,0.71,1.22,1.0,4.0
50.75,37.0,45.918,1.089,45.0,45.635,46.5,4.87,0.0,0.325,0.366,0.0,0.43,0.5,24.0,0.0,16.872,5.36,15.0,18.75,21.0,8.5,0.0,0.696,0.857,0.0,0.47,0.87,24.0,2.0,18.443,3.586,16.5,19.33,21.0,7.22,0.0,0.905,0.896,0.43,0.71,1.12,1.0,4.0
46.75,44.5,45.24,0.43,45.0,45.0,45.33,1.0,0.0,0.173,0.251,0.0,0.0,0.43,23.75,2.0,12.813,4.192,10.0,13.0,15.25,6.36,0.0,1.109,1.015,0.43,0.83,1.48,26.75,4.75,19.331,2.946,17.628,20.0,21.0,8.2,0.0,0.837,0.835,0.43,0.71,1.12,1.0,4.0
46.0,42.5,44.754,0.52,44.75,45.0,45.0,1.12,0.0,0.154,0.259,0.0,0.0,0.43,27.25,3.67,18.58,4.128,17.0,19.25,21.0,5.17,0.0,0.625,0.676,0.43,0.47,0.83,30.75,4.33,19.265,4.128,17.5,19.0,21.69,4.3,0.0,0.764,0.652,0.43,0.7,1.0,1.0,4.0
45.75,25.5,36.56,5.915,30.0,36.5,42.5,12.19,0.0,0.422,0.773,0.0,0.0,0.82,24.0,1.0,14.895,5.46,11.0,15.33,20.27,5.12,0.0,0.741,0.833,0.0,0.495,0.94,27.0,5.5,17.15,2.864,15.5,18.0,19.0,6.26,0.0,0.855,0.718,0.43,0.83,1.145,1.0,4.0
38.67,27.0,32.906,3.506,30.0,30.25,37.0,2.49,0.0,0.457,0.539,0.0,0.0,1.0,23.75,2.5,16.306,5.165,12.0,18.5,21.0,5.12,0.0,0.665,0.768,0.0,0.47,0.87,23.5,2.0,18.087,3.736,16.5,19.25,20.75,5.12,0.0,0.791,0.756,0.43,0.71,1.0,1.0,4.0
50.75,27.5,38.888,3.643,36.25,36.75,42.0,6.06,0.0,0.383,0.489,0.0,0.43,0.5,23.25,1.5,14.854,3.927,12.0,15.0,18.0,6.02,0.0,0.654,0.708,0.0,0.47,0.87,23.75,0.0,16.522,4.979,14.0,17.75,20.75,5.17,0.0,0.84,0.751,0.43,0.82,1.09,1.0,4.0
45.0,42.0,42.822,0.892,42.0,42.5,43.5,1.12,0.0,0.336,0.26,0.0,0.43,0.5,23.0,0.0,17.2,3.898,16.0,18.0,20.0,5.45,0.0,0.531,0.764,0.0,0.43,0.71,23.0,1.0,16.026,4.112,13.25,17.0,19.0,6.36,0.0,0.856,0.765,0.43,0.82,1.09,1.0,4.0
46.5,41.75,43.191,1.23,42.0,42.5,44.5,1.5,0.0,0.266,0.272,0.0,0.43,0.5,21.67,0.0,14.858,4.728,12.25,15.0,18.425,4.64,0.0,0.51,0.543,0.0,0.47,0.72,22.0,5.67,16.043,3.027,14.0,16.0,18.33,5.45,0.0,0.806,0.645,0.43,0.82,1.09,1.0,4.0
48.0,33.33,44.335,2.477,42.25,45.0,46.5,3.9,0.0,0.433,0.371,0.0,0.47,0.5,18.75,0.0,11.646,3.699,9.75,12.25,14.5,5.79,0.0,0.843,0.889,0.43,0.5,1.22,23.0,0.0,13.444,5.402,9.33,14.75,17.75,5.02,0.0,0.933,0.674,0.47,0.83,1.25,0.0,5.0
45.8,36.0,42.42,2.52,41.33,42.67,44.618,2.12,0.0,0.461,0.387,0.0,0.47,0.505,24.0,6.33,16.321,2.467,15.0,16.75,18.0,5.59,0.0,0.75,0.668,0.43,0.5,1.038,22.0,2.0,10.068,3.722,7.627,9.75,12.0,6.65,0.0,1.226,0.892,0.5,1.09,1.585,0.0,5.0
48.25,37.0,42.517,2.196,41.0,42.5,44.5,2.12,0.0,0.441,0.349,0.0,0.47,0.5,21.75,1.0,13.219,4.735,9.73,13.5,17.5,5.61,0.0,0.8,0.868,0.43,0.5,1.02,21.0,1.0,14.64,3.624,12.628,15.0,17.5,6.85,0.0,0.977,0.853,0.47,0.83,1.22,0.0,5.0
45.5,36.25,42.959,1.501,42.0,42.67,44.33,2.6,0.0,0.353,0.314,0.0,0.47,0.5,22.0,0.0,11.78,3.022,11.0,12.0,13.33,4.72,0.0,0.564,0.638,0.0,0.47,0.83,20.25,0.0,14.946,2.703,14.0,15.25,16.69,4.0,0.0,0.748,0.461,0.43,0.82,0.95,1.0,5.0
47.33,36.0,42.675,2.384,40.0,43.67,44.75,2.17,0.0,0.419,0.368,0.0,0.47,0.5,21.0,0.0,12.111,3.557,11.628,12.67,14.33,5.56,0.0,0.568,0.718,0.0,0.43,0.82,19.67,0.0,14.247,3.262,12.75,14.5,16.5,3.77,0.0,0.702,0.567,0.43,0.5,0.94,1.0,5.0
45.75,36.25,43.188,2.491,39.75,44.75,45.0,2.83,0.0,0.271,0.329,0.0,0.0,0.5,22.75,0.0,12.728,3.86,10.67,12.71,15.062,3.74,0.0,0.643,0.677,0.0,0.47,0.87,24.0,2.0,18.201,3.566,16.5,18.25,21.0,3.83,0.0,0.645,0.567,0.43,0.5,0.83,1.0,5.0
47.33,36.0,44.441,2.418,44.628,45.0,45.75,4.5,0.0,0.347,0.358,0.0,0.43,0.5,21.0,3.0,13.356,2.955,12.0,13.5,15.5,5.54,0.0,0.646,0.718,0.0,0.47,0.83,21.0,1.0,12.612,3.414,11.0,12.75,14.67,5.91,0.0,1.155,0.842,0.5,0.94,1.5,1.0,5.0
46.25,35.5,43.175,1.989,42.5,43.67,44.5,2.12,0.0,0.507,0.307,0.43,0.5,0.5,20.67,1.0,12.771,3.289,11.25,13.0,15.0,6.56,0.0,0.687,0.765,0.0,0.485,0.87,21.25,2.0,14.286,2.984,12.75,14.67,16.5,5.72,0.0,0.912,0.666,0.47,0.83,1.22,1.0,5.0
47.0,32.75,42.761,3.399,41.33,44.5,45.372,3.34,0.0,0.486,0.447,0.0,0.47,0.5,21.0,1.5,15.037,3.122,14.0,15.25,17.0,5.85,0.0,0.589,0.701,0.0,0.43,0.71,21.33,1.33,15.551,4.297,13.0,16.585,18.565,5.73,0.0,0.842,0.722,0.43,0.71,1.09,1.0,5.0
46.67,30.0,42.649,2.395,41.5,42.75,45.0,2.95,0.0,0.403,0.414,0.0,0.43,0.5,21.25,3.0,18.129,2.85,18.0,18.5,19.75,7.5,0.0,0.468,0.687,0.0,0.43,0.5,20.75,1.0,12.06,3.142,10.628,12.29,14.25,4.64,0.0,0.917,0.71,0.47,0.83,1.12,1.0,5.0
47.5,36.0,43.72,2.384,43.0,45.0,45.0,1.92,0.0,0.367,0.374,0.0,0.43,0.5,21.0,6.67,17.01,2.712,15.5,17.75,18.75,6.02,0.0,0.544,0.744,0.0,0.43,0.71,20.25,1.0,13.198,3.289,11.31,13.75,15.542,6.18,0.0,1.04,0.917,0.47,0.83,1.22,1.0,5.0
47.75,34.5,44.471,1.773,45.0,45.0,45.25,2.18,0.0,0.29,0.393,0.0,0.0,0.5,21.33,5.0,17.949,2.514,18.0,18.5,19.33,5.54,0.0,0.566,0.701,0.0,0.43,0.71,19.67,1.0,13.21,2.612,12.0,13.0,14.812,4.32,0.0,0.927,0.756,0.47,0.83,1.22,1.0,5.0
48.0,35.5,46.225,1.748,45.25,46.0,48.0,4.5,0.0,0.312,0.465,0.0,0.0,0.5,21.0,0.0,15.032,4.313,11.75,15.585,18.5,5.12,0.0,0.599,0.679,0.0,0.47,0.83,21.0,2.5,13.394,2.932,12.0,13.5,15.25,6.0,0.0,0.883,0.668,0.47,0.83,1.12,1.0,5.0
48.0,29.75,46.932,1.833,47.238,47.5,47.75,4.6,0.0,0.43,0.367,0.43,0.5,0.5,21.0,6.5,16.848,2.618,16.33,18.0,18.25,6.52,0.0,0.535,0.713,0.0,0.43,0.71,21.25,2.67,13.282,3.135,11.67,13.67,15.5,6.58,0.0,0.991,0.855,0.47,0.83,1.22,1.0,5.0
47.67,36.33,45.4,1.328,45.0,45.5,46.33,1.66,0.0,0.46,0.27,0.43,0.5,0.5,21.25,1.5,17.671,1.746,17.458,18.0,18.33,4.11,0.0,0.441,0.478,0.0,0.43,0.5,19.75,1.0,12.429,3.374,11.25,13.125,14.5,4.5,0.0,0.795,0.503,0.47,0.82,1.0,1.0,5.0
43.5,19.33,34.228,4.89,30.5,35.5,37.75,14.5,0.0,3.996,2.271,2.375,3.63,5.342,23.5,5.5,15.713,2.84,14.0,15.75,17.67,8.86,0.0,3.304,1.667,2.05,3.2,4.44,26.0,6.75,16.621,3.092,14.75,16.67,18.67,9.74,0.0,3.394,1.792,2.105,3.1,4.425,0.0,6.0
51.25,21.5,34.254,4.941,30.938,35.0,37.75,13.55,0.0,4.458,2.387,2.728,4.15,5.89,24.0,6.5,15.246,2.961,13.25,15.25,17.25,9.5,0.0,3.279,1.759,2.037,3.1,4.402,24.25,7.0,15.716,3.117,13.75,15.75,18.0,8.32,0.0,3.501,1.692,2.18,3.285,4.557,0.0,6.0
45.33,19.5,33.587,4.651,30.25,34.25,37.0,14.67,0.0,4.577,2.461,2.87,4.26,6.105,23.25,7.33,15.318,2.97,13.25,15.33,17.27,9.0,0.0,3.227,1.647,2.05,3.1,4.26,25.0,6.33,15.892,3.284,13.73,16.0,18.25,8.32,0.0,3.26,1.64,2.05,3.11,4.322,0.0,6.0
45.5,19.75,34.323,4.752,31.0,35.25,38.0,13.47,0.0,4.456,2.599,2.49,3.9,5.97,22.25,6.25,15.21,2.711,13.5,15.25,17.0,9.0,0.0,3.277,1.5,2.17,3.11,4.39,23.25,6.25,15.55,3.12,13.5,15.75,17.75,9.67,0.0,3.433,1.733,2.157,3.2,4.565,1.0,6.0
46.0,19.5,34.546,4.842,31.25,35.25,37.812,12.47,0.0,4.372,2.36,2.49,4.135,5.8,22.67,7.0,15.186,2.758,13.25,15.25,17.0,8.34,0.0,3.029,1.665,1.79,2.86,4.11,22.75,7.0,15.76,2.823,14.0,15.75,17.75,10.0,0.0,3.338,1.657,2.16,3.08,4.335,1.0,6.0
46.25,23.5,34.873,4.532,31.75,35.25,38.25,14.82,0.0,4.381,2.435,2.5,3.925,5.932,24.25,6.67,15.471,2.813,13.5,15.5,17.25,9.9,0.0,3.206,1.519,2.058,3.03,4.19,23.5,5.5,15.874,3.131,13.75,16.0,18.0,9.51,0.0,3.425,1.691,2.17,3.27,4.5,1.0,6.0
44.0,19.25,34.473,4.797,31.25,35.0,38.0,13.86,0.0,4.359,2.389,2.49,3.96,5.9,22.75,6.0,15.425,2.802,13.67,15.5,17.33,9.1,0.0,3.188,1.603,2.05,3.03,4.037,23.25,4.67,15.704,3.156,13.73,16.0,17.75,9.0,0.43,3.34,1.699,2.12,3.09,4.375,1.0,6.0
45.0,12.5,33.51,4.851,30.5,34.125,36.75,13.05,0.0,4.451,2.339,2.74,4.085,5.89,23.75,5.75,15.558,2.912,13.628,15.635,17.5,9.1,0.0,3.351,1.664,2.168,3.11,4.44,25.0,7.25,16.541,3.134,14.628,16.75,18.75,8.96,0.0,3.378,1.787,2.06,3.085,4.44,1.0,6.0
46.75,15.0,34.661,5.315,31.0,35.0,38.25,13.44,0.0,4.201,2.48,2.343,3.9,5.672,25.25,5.0,15.223,3.101,13.25,15.25,17.33,8.58,0.0,3.111,1.689,1.8,2.87,4.09,24.5,7.0,16.251,3.155,14.25,16.33,18.5,8.99,0.0,3.244,1.631,2.12,3.0,4.24,1.0,6.0
46.0,18.0,35.193,4.752,32.0,36.0,38.75,16.2,0.0,4.321,2.626,2.48,3.88,5.87,24.5,5.67,15.462,3.114,13.33,15.67,17.5,8.76,0.0,3.073,1.509,1.912,2.86,4.09,23.5,6.25,16.101,3.208,14.25,16.33,18.5,8.5,0.0,3.242,1.769,1.885,3.015,4.44,1.0,6.0
46.25,20.75,34.763,4.742,31.67,35.29,38.25,12.68,0.0,4.224,2.278,2.49,3.9,5.722,23.75,5.0,15.239,2.921,13.5,15.33,17.25,9.2,0.0,3.207,1.59,2.05,3.0,4.195,25.5,6.0,16.3,3.175,14.25,16.25,18.33,9.39,0.0,3.288,1.648,2.05,3.27,4.305,1.0,6.0
51.0,21.5,34.936,4.646,32.0,35.5,38.062,12.21,0.0,4.116,2.335,2.35,3.845,5.625,23.33,6.5,15.525,2.9,13.33,15.5,17.67,9.09,0.0,3.093,1.503,2.058,2.87,3.84,25.0,6.33,15.997,3.192,14.238,16.25,18.25,10.21,0.0,3.28,1.701,2.12,3.015,4.5,1.0,6.0
47.67,18.33,34.333,4.949,31.25,34.75,38.0,12.48,0.0,4.397,2.569,2.49,3.9,5.745,23.33,7.67,15.563,2.968,13.67,15.5,17.5,9.01,0.0,3.198,1.676,2.05,2.93,4.245,24.0,6.67,15.864,3.0,13.75,16.0,18.0,8.01,0.0,3.262,1.617,2.05,2.98,4.32,1.0,6.0
45.75,18.33,34.6,4.732,31.5,35.125,38.0,15.37,0.0,4.399,2.539,2.55,4.025,5.768,24.0,5.5,15.174,3.037,13.0,15.0,17.372,9.18,0.0,3.145,1.591,2.037,3.015,4.158,23.25,6.5,16.056,2.906,14.0,16.0,18.25,8.86,0.0,3.29,1.68,2.12,3.015,4.26,1.0,6.0
43.67,15.5,34.226,4.442,31.25,34.75,37.25,17.24,0.0,4.354,2.519,2.49,3.9,5.765,23.0,7.67,15.606,2.812,13.75,15.5,17.5,9.2,0.0,3.365,1.731,2.12,3.03,4.44,24.0,5.75,16.148,2.993,14.33,16.25,18.25,9.42,0.0,3.48,1.761,2.24,3.27,4.538,1.0,6.0
